Designator,Mid X,Mid Y,Rotation,Layer
D1,100.5,-79.8,0.0,top
D2,107.7,-79.6,0.0,top
D3,100.3,-87.4,0.0,top
D4,107.73,-87.7,0.0,top
R1,95.786267,-79.979962,90.0,top
R2,112.369849,-79.493402,90.0,top
R3,95.786267,-87.440546,90.0,top
R4,112.450942,-87.764919,90.0,top
SW1,84.42,-62.462792,0.0,top
SW2,84.435244,-81.519314,0.0,top
SW3,84.420799,-100.52945,0.0,top
SW4,103.51,-100.55,0.0,top
U1,103.88,-64.62,0.0,top
